commit_number,commit,short_commit,committed_at,smell,count
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","BooleanParameter",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","Check",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","ClassVariable",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","ControlParameter",1
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","DataClump",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","DuplicateMethodCall",21
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","FeatureEnvy",10
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","InstanceVariableAssumption",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","IrresponsibleModule",3
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","LongParameterList",1
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","LongYieldList",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","ManualDispatch",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","MissingSafeMethod",2
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","ModuleInitialize",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","NestedIterators",1
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","NilCheck",4
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","RepeatedConditional",2
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","SubclassedFromCoreClass",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","TooManyConstants",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","TooManyInstanceVariables",1
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","TooManyMethods",1
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","TooManyStatements",16
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","UncommunicativeMethodName",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","UncommunicativeModuleName",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","UncommunicativeParameterName",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","UncommunicativeVariableName",3
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","UnusedParameters",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","UnusedPrivateMethod",0
3,"7a7f451693b7ab20a87b2849164bbddf197be8b6","7a7f451","2026-05-04T19:54:29+02:00","UtilityFunction",4
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","All",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","Attribute",11
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","BooleanParameter",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","Check",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","ClassVariable",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","ControlParameter",1
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","DataClump",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","DuplicateMethodCall",21
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","FeatureEnvy",11
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","InstanceVariableAssumption",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","IrresponsibleModule",3
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","LongParameterList",1
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","LongYieldList",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","ManualDispatch",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","MissingSafeMethod",2
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","ModuleInitialize",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","NestedIterators",1
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","NilCheck",4
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","RepeatedConditional",3
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","SubclassedFromCoreClass",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","TooManyConstants",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","TooManyInstanceVariables",1
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","TooManyMethods",1
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","TooManyStatements",16
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","UncommunicativeMethodName",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","UncommunicativeModuleName",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","UncommunicativeParameterName",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","UncommunicativeVariableName",3
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","UnusedParameters",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","UnusedPrivateMethod",0
4,"855b483125c0f724936699ab6e552680c1373c94","855b483","2026-05-04T19:55:59+02:00","UtilityFunction",4
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","All",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","Attribute",12
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","BooleanParameter",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","Check",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","ClassVariable",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","ControlParameter",1
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","DataClump",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","DuplicateMethodCall",22
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","FeatureEnvy",12
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","InstanceVariableAssumption",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","IrresponsibleModule",3
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","LongParameterList",1
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","LongYieldList",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","ManualDispatch",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","MissingSafeMethod",2
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","ModuleInitialize",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","NestedIterators",1
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","NilCheck",4
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","RepeatedConditional",4
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","SubclassedFromCoreClass",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","TooManyConstants",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","TooManyInstanceVariables",1
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","TooManyMethods",2
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","TooManyStatements",17
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","UncommunicativeMethodName",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","UncommunicativeModuleName",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","UncommunicativeParameterName",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","UncommunicativeVariableName",4
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","UnusedParameters",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","UnusedPrivateMethod",0
5,"9fe3d59e54ff7bab4060fee9d8b646e1c76a40c4","9fe3d59","2026-05-04T19:56:41+02:00","UtilityFunction",4
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","All",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","Attribute",13
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","BooleanParameter",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","Check",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","ClassVariable",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","ControlParameter",1
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","DataClump",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","DuplicateMethodCall",25
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","FeatureEnvy",14
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","InstanceVariableAssumption",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","IrresponsibleModule",3
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","LongParameterList",1
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","LongYieldList",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","ManualDispatch",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","MissingSafeMethod",3
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","ModuleInitialize",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","NestedIterators",1
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","NilCheck",4
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","RepeatedConditional",4
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","SubclassedFromCoreClass",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","TooManyConstants",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","TooManyInstanceVariables",1
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","TooManyMethods",2
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","TooManyStatements",19
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","UncommunicativeMethodName",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","UncommunicativeModuleName",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","UncommunicativeParameterName",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","UncommunicativeVariableName",4
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","UnusedParameters",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","UnusedPrivateMethod",0
6,"67cf3a50d619b764fa81ab5c90dc2dc418f5d8bf","67cf3a5","2026-05-04T19:57:24+02:00","UtilityFunction",4
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","All",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","Attribute",13
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","BooleanParameter",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","Check",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","ClassVariable",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","ControlParameter",1
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","DataClump",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","DuplicateMethodCall",27
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","FeatureEnvy",14
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","InstanceVariableAssumption",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","IrresponsibleModule",3
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","LongParameterList",1
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","LongYieldList",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","ManualDispatch",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","MissingSafeMethod",3
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","ModuleInitialize",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","NestedIterators",1
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","NilCheck",4
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","RepeatedConditional",4
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","SubclassedFromCoreClass",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","TooManyConstants",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","TooManyInstanceVariables",1
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","TooManyMethods",2
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","TooManyStatements",19
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","UncommunicativeMethodName",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","UncommunicativeModuleName",0
7,"b61dd8bbc31d590a882d59f6d3805834986060fd","b61dd8b","2026-05-04T19:57:59+02:00","UncommunicativeParameterName",0
